"Index","Lokacija","Razina","Jedinica samouprave","Godina","Vrsta","Klasifikacija","Razred","Razred opis","Skupina","Skupina opis","Podskupina","Podskupina opis","Iznos"
"161","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","048","Istraživanje i razvoj: Ekonomski poslovi","0484","Istraživanje i razvoj: Rudarstvo, proizvodnja i građevinarstvo","13571"
"162","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","048","Istraživanje i razvoj: Ekonomski poslovi","0485","Istraživanje i razvoj: Promet","0"
"163","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","048","Istraživanje i razvoj: Ekonomski poslovi","0486","Istraživanje i razvoj: Komunikacije","0"
"164","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","048","Istraživanje i razvoj: Ekonomski poslovi","0487","Istraživanje i razvoj: Ostale industrije","0"
"165","Grad Zagreb","21","županija","2003","rashod","funkcijska","04","Ekonomski poslovi","049","Ekonomski poslovi koji nisu drugdje svrstani","","","1939292"
"166","Grad Zagreb","21","županija","2003","rashod","funkcijska","05","Zaštita okoliša","051","Gospodarenje otpadom","","","0"
"167","Grad Zagreb","21","županija","2003","rashod","funkcijska","05","Zaštita okoliša","052","Gospodarenje otpadnim vodama","","","0"
"168","Grad Zagreb","21","županija","2003","rashod","funkcijska","05","Zaštita okoliša","053","Smanjenje zagađivanja","","","0"
"169","Grad Zagreb","21","županija","2003","rashod","funkcijska","05","Zaštita okoliša","054","Zaštita bioraznolikosti i krajolika","","","0"
"170","Grad Zagreb","21","županija","2003","rashod","funkcijska","05","Zaštita okoliša","055","Istraživanje i razvoj: Zaštita okoliša","","","772516"
"171","Grad Zagreb","21","županija","2003","rashod","funkcijska","05","Zaštita okoliša","056","Poslovi i usluge zaštite okoliša koji nisu drugdje svrstani","","","3374918"
"172","Grad Zagreb","21","županija","2003","rashod","funkcijska","06","Usluge unapređenja stanovanja i zajednice","061","Razvoj stanovanja","","","122279898"
"173","Grad Zagreb","21","županija","2003","rashod","funkcijska","06","Usluge unapređenja stanovanja i zajednice","062","Razvoj zajednice","","","1041940768"
"174","Grad Zagreb","21","županija","2003","rashod","funkcijska","06","Usluge unapređenja stanovanja i zajednice","063","Opskrba vodom","","","13142181"
"175","Grad Zagreb","21","županija","2003","rashod","funkcijska","06","Usluge unapređenja stanovanja i zajednice","064","Ulična rasvjeta","","","0"
"176","Grad Zagreb","21","županija","2003","rashod","funkcijska","06","Usluge unapređenja stanovanja i zajednice","065","Istraživanje i razvoj stanovanja i komunalnih pogodnosti","","","1722656"
"177","Grad Zagreb","21","županija","2003","rashod","funkcijska","06","Usluge unapređenja stanovanja i zajednice","066","Rashodi vezani za stanovanje i kom pogodnosti koji nisu drugdje svrstani","","","138916273"
"178","Grad Zagreb","21","županija","2003","rashod","funkcijska","07","Zdravstvo","071","Medicinski proizvodi, pribor i oprema","0711","Farmaceutski proizvodi","0"
"179","Grad Zagreb","21","županija","2003","rashod","funkcijska","07","Zdravstvo","071","Medicinski proizvodi, pribor i oprema","0712","Ostali medicinski proizvodi","0"
"180","Grad Zagreb","21","županija","2003","rashod","funkcijska","07","Zdravstvo","071","Medicinski proizvodi, pribor i oprema","0713","Terapeutski pribor i oprema","0"
"181","Grad Zagreb","21","županija","2003","rashod","funkcijska","07","Zdravstvo","072","Službe za vanjske pacijente","0721","Opće medicinske usluge","0"
