Index,Lokacija,Tijelo samouprave,Godina,Vrsta,Klasifikacija,Razred,Razred opis,Skupina,Skupina opis,Podskupina,Podskupina opis,Iznos
1075,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,043,Gorivo i energija,0433,Nuklearno gorivo,0
1076,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,043,Gorivo i energija,0434,Ostala goriva,0
1077,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,043,Gorivo i energija,0435,Električna energija,0
1078,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,043,Gorivo i energija,0436,Ostale vrste energije,3112037
1079,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,044,"Rudarstvo, proizvodnja i građevinarstvo",0441,"Rudarstvo, mineralni resursi i ostala mineralna goriva",0
1080,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,044,"Rudarstvo, proizvodnja i građevinarstvo",0442,Proizvodnja ,0
1081,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,044,"Rudarstvo, proizvodnja i građevinarstvo",0443,Građevinarstvo,0
1082,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,045,Promet,0451,Cestovni promet,1057994114
1083,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,045,Promet,0452,Promet vodnim potovima,0
1084,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,045,Promet,0453,Željeznički promet,0
1085,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,045,Promet,0454,Zračni promet,0
1086,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,045,Promet,0455,Promet cjevovodima i ostali promet,0
1087,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,047,Ostale industrije,0471,Distribucija i skladištenje,0
1088,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,047,Ostale industrije,0472,Hoteli i restorani,0
1089,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,047,Ostale industrije,0473,Turizam,431585
1090,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,047,Ostale industrije,0474,Višenamjenski razvojni projekti,0
1091,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,048,Istraživanje i razvoj: Ekonomski poslovi,0481,"Istraživanje i razvoj: Opći ekonomski, trgovački i poslovi vezani uz rad",0
1092,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,048,Istraživanje i razvoj: Ekonomski poslovi,0482,"Istraživanje i razvoj: Poljoprivreda, šumarstvo, ribarstvo i lov",0
1093,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,048,Istraživanje i razvoj: Ekonomski poslovi,0483,Istraživanje i razvoj: Gorivo i energija,0
1094,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,048,Istraživanje i razvoj: Ekonomski poslovi,0484,"Istraživanje i razvoj: Rudarstvo, proizvodnja i građevinarstvo",0
1095,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,048,Istraživanje i razvoj: Ekonomski poslovi,0485,Istraživanje i razvoj: Promet,0
1096,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,048,Istraživanje i razvoj: Ekonomski poslovi,0486,Istraživanje i razvoj: Komunikacije,0
1097,Grad Zagreb,županija,2012,rashod,funkcijska,04,Ekonomski poslovi,048,Istraživanje i razvoj: Ekonomski poslovi,0487,Istraživanje i razvoj: Ostale industrije,0
1098,Grad Zagreb,županija,2012,rashod,funkcijska,07,Zdravstvo,071,"Medicinski proizvodi, pribor i oprema",0711,Farmaceutski proizvodi,0
1099,Grad Zagreb,županija,2012,rashod,funkcijska,07,Zdravstvo,071,"Medicinski proizvodi, pribor i oprema",0712,Ostali medicinski proizvodi,0
1100,Grad Zagreb,županija,2012,rashod,funkcijska,07,Zdravstvo,071,"Medicinski proizvodi, pribor i oprema",0713,Terapeutski pribor i oprema,0
1101,Grad Zagreb,županija,2012,rashod,funkcijska,07,Zdravstvo,072,Službe za vanjske pacijente,0721,Opće medicinske usluge,0
1102,Grad Zagreb,županija,2012,rashod,funkcijska,07,Zdravstvo,072,Službe za vanjske pacijente,0722,Specijalističke medicinske usluge,0
1103,Grad Zagreb,županija,2012,rashod,funkcijska,07,Zdravstvo,072,Službe za vanjske pacijente,0723,Zubarske usluge,710300
1104,Grad Zagreb,županija,2012,rashod,funkcijska,07,Zdravstvo,072,Službe za vanjske pacijente,0724,Paramedicinske usluge ,0
1105,Grad Zagreb,županija,2012,rashod,funkcijska,07,Zdravstvo,073,Bolničke službe,0731,Usluge općih bolnica,0
1106,Grad Zagreb,županija,2012,rashod,funkcijska,07,Zdravstvo,073,Bolničke službe,0732,Usluge specijalističkih bolnica,2248999
1107,Grad Zagreb,županija,2012,rashod,funkcijska,07,Zdravstvo,073,Bolničke službe,0733,Usluge medicinskih centara i centara za majčinstvo,0
1108,Grad Zagreb,županija,2012,rashod,funkcijska,07,Zdravstvo,073,Bolničke službe,0734,Usluge centara za njegu i oporavak,0
1109,Grad Zagreb,županija,2012,rashod,funkcijska,09,Obrazovanje,091,Predškolsko i osnovno obrazovanje,0911,Predškolsko obrazovanje,808338544
