Index,Lokacija,Tijelo samouprave,Godina,Vrsta,Klasifikacija,Razred,Razred opis,Skupina,Skupina opis,Podskupina,Podskupina opis,Iznos
8145,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,044,"Rudarstvo, proizvodnja i građevinarstvo",0441,"Rudarstvo, mineralni resursi i ostala mineralna goriva",0
8146,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,044,"Rudarstvo, proizvodnja i građevinarstvo",0442,Proizvodnja ,0
8147,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,044,"Rudarstvo, proizvodnja i građevinarstvo",0443,Građevinarstvo,0
8148,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,045,Promet,0451,Cestovni promet,13392540
8149,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,045,Promet,0452,Promet vodnim potovima,5165421
8150,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,045,Promet,0453,Željeznički promet,36051
8151,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,045,Promet,0454,Zračni promet,634416
8152,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,045,Promet,0455,Promet cjevovodima i ostali promet,0
8153,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,046,Komunikacije,,,722660
8154,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,047,Ostale industrije,0471,Distribucija i skladištenje,0
8155,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,047,Ostale industrije,0472,Hoteli i restorani,0
8156,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,047,Ostale industrije,0473,Turizam,1399765
8157,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,047,Ostale industrije,0474,Višenamjenski razvojni projekti,0
8158,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,048,Istraživanje i razvoj: Ekonomski poslovi,0481,"Istraživanje i razvoj: Opći ekonomski, trgovački i poslovi vezani uz rad",3467726
8159,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,048,Istraživanje i razvoj: Ekonomski poslovi,0482,"Istraživanje i razvoj: Poljoprivreda, šumarstvo, ribarstvo i lov",3378347
8160,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,048,Istraživanje i razvoj: Ekonomski poslovi,0483,Istraživanje i razvoj: Gorivo i energija,0
8161,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,048,Istraživanje i razvoj: Ekonomski poslovi,0484,"Istraživanje i razvoj: Rudarstvo, proizvodnja i građevinarstvo",0
8162,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,048,Istraživanje i razvoj: Ekonomski poslovi,0485,Istraživanje i razvoj: Promet,0
8163,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,048,Istraživanje i razvoj: Ekonomski poslovi,0486,Istraživanje i razvoj: Komunikacije,0
8164,Primorsko-goranska,županija,2003,rashod,funkcijska,04,Ekonomski poslovi,048,Istraživanje i razvoj: Ekonomski poslovi,0487,Istraživanje i razvoj: Ostale industrije,0
